,ra,dec,label
1281,51.03505,-54.180392000000005,0
2882,3.7633089999999996,-0.37371,0
3998,336.938125,-58.80765699999999,1
23712,23.235889,-44.934447,0
14370,62.6084,-45.891725,0
29615,35.559595,-51.337949,1
36350,40.730667,-29.811048,1
20571,80.933537,-25.516876,0
15312,324.446126,0.398239,1
17958,79.678957,-23.168906,0
19011,358.1294000000001,-60.573353000000004,0
18692,54.043955000000004,-56.652839,1
20734,348.130314,-1.210582,1
33117,38.755029,-45.831964,1
14270,62.604668000000004,-29.435116999999998,1
17208,57.596509999999995,-35.248109,1
3904,89.26992299999999,-26.179914,1
32620,42.93572,-15.580004999999998,1
8138,41.694513,-37.455758,0
7497,26.50217,-6.427414,0
21878,26.025488,-51.348554,0
20534,318.77196299999997,-0.192163,1
5064,48.520146999999994,-31.800171000000002,1
29535,53.801581000000006,-36.575453,1
39557,21.442592,-6.188811,1
5391,63.454108999999995,-60.72464599999999,1
38892,43.483201,-10.297926,1
12622,335.483219,-45.660846,1
6944,71.834324,-45.693265000000004,0
34698,40.428697,-14.858723999999999,1
13923,93.407431,-37.132162,1
28873,3.88308,-59.061992000000004,1
39413,359.702495,0.195419,1
11985,83.07498000000001,-32.17502,0
668,34.847691999999995,-29.467126,1
186,82.618588,-36.023877,0
4898,335.54399900000004,-2.2912939999999997,1
24593,73.819872,-30.000647999999998,1
21721,359.834135,-43.162436,0
22762,67.06983100000001,-50.727424,0
6404,300.899325,-52.789154,1
9743,63.764741,-16.990078999999998,0
9258,51.604709,-21.753833,0
7674,347.167689,-1.7817990000000001,0
7182,14.411275,-43.835086,1
9178,56.134352,-42.505953000000005,1
5771,36.252669,-6.374088,0
17760,9.667428,-7.0336490000000005,1
10423,47.024101,-25.115108,0
33797,20.907332,-29.832557,1
1071,19.812476999999998,2.7379279999999997,1
15640,31.786972,-27.502696000000004,0
37306,358.653499,-58.39359,0
12374,305.59743100000003,-52.969294,1
28453,340.10652200000004,-39.631256,0
2901,74.04129300000001,-20.344209,1
3450,24.523558,-18.753410000000002,0
17785,87.64841799999998,-25.455906,0
15082,96.250362,-57.762488,1
35768,39.447131,-45.764590999999996,1
6559,76.307381,-25.801916000000002,1
24949,17.996933,-45.777512,1
35738,20.700796,-52.660966,1
37312,356.070789,-48.424665999999995,1
6705,37.800713,-9.823283,0
10129,33.573778000000004,-29.477271999999996,1
275,39.503240000000005,2.289199,1
12756,6.4921120000000005,-32.863432,0
11514,321.00751,-49.408436,0
19805,333.18113900000003,-55.319454,1
1885,16.130388,-52.044705,0
4873,74.084355,-58.690004,1
26621,319.513246,-2.129897,0
7528,29.725397,-10.6463,0
25838,61.645813000000004,-21.124554,0
5718,27.630409000000004,-2.382869,0
39675,19.321189,-48.386298,0
3188,326.03434599999997,-40.877833,0
32424,9.824117999999999,3.317324,0
8375,34.787545,-45.178398,0
29828,58.907675,-42.37562,0
30506,0.200286,-4.415202,0
31944,319.504324,-48.391569,0
22301,21.714707,-29.203715000000003,0
9073,85.84217799999998,-19.261592,0
13187,88.70209799999999,-36.039595,1
30148,46.753125,-10.354212,1
26595,316.85161,-58.257763,1
7579,72.571343,-51.054713,0
37194,319.080061,1.351445,1
37101,58.097538,-14.306768,0
15769,80.016621,-17.892985,0
21698,324.9565,-63.592909999999996,1
9395,315.556623,-64.072773,1
23555,76.382109,-25.284657,1
34366,331.119627,-51.375875,1
29004,82.05297399999998,-24.669604,0
8986,24.701204,-37.091709,1
2003,332.437787,-50.517932,0
32976,66.633873,-37.708786,0
31179,301.793529,-54.469349,0
23072,51.222583,-35.038693,1
7967,34.47157,-28.635602000000002,0
39170,26.44878,-30.990265,0
26243,43.691219,-17.351985,0
29140,28.428024,-62.347127,1
22500,35.070778999999995,-26.636426,0
8669,49.376852,-41.154577,0
31973,20.360528,-3.5624839999999995,1
10344,77.42645999999998,-50.013839000000004,0
16122,299.296354,-56.908851,1
2111,15.778078,-7.083197999999999,1
22735,14.101792000000001,-20.148175,1
29627,5.264101999999999,-43.380904,1
27048,9.889581,-2.438403,0
8452,32.78453,-26.685112,1
36638,326.843863,-45.598399,0
31183,15.20889,-18.62097,1
10581,58.255309999999994,-28.919194,1
480,15.418326,-63.392161,1
15326,20.686765,-20.428837,0
14751,61.394248,-37.321999999999996,1
23175,49.96141,-32.574985,1
18899,37.30575,-48.476781,0
311,57.664943,-27.689098,0
7567,55.915276,-35.215807,0
2342,310.717664,-55.447118,0
14256,17.27693,-46.128164,1
27232,24.710539999999998,-8.18295,1
29493,313.780332,-53.975596,0
29577,87.907536,-60.920466000000005,1
25600,52.659771,-31.935453000000003,0
31094,7.3431809999999995,-1.288664,1
15574,18.870794,-2.596727,0
3134,304.391378,-52.861329000000005,0
27093,11.847482000000001,-52.545305000000006,0
27670,42.021332,-56.599548,0
35409,14.534460999999999,-5.134393,1
18225,29.136954,-51.435554,0
22742,346.80737,-40.82627,1
19293,65.781849,-22.901277,0
33621,53.399655,-39.072157000000004,1
1221,92.375547,-37.95057,1
1214,30.87138,-26.162237,1
4458,302.996219,-55.396886,1
30851,35.933445,-51.616457000000004,0
18979,354.862566,-42.180694,0
26898,44.202557,-10.522377,1
14756,19.759641000000002,0.439617,0
1694,44.602653000000004,-12.666545,1
37226,359.545877,-5.306792,1
25770,325.143021,-55.644845999999994,1
30925,24.884427,-16.3584,1
39729,31.604097999999997,-8.247975,1
21640,40.026008000000004,-25.209458,0
21795,41.191282,-5.002471,1
37003,91.735842,-55.201612,0
10997,56.07508000000001,-41.484185,1
30591,47.741047,-10.786642,0
12076,20.118709,-31.470197,0
29399,7.516266000000001,3.507594,0
1776,7.7076069999999985,0.43031800000000003,0
13971,44.451017,-9.837860000000001,1
7344,19.222734,-6.197574,0
26437,54.309036,-52.985385,1
14678,38.96894,-29.941767,1
26550,7.6428,-33.24075,0
1335,40.910925,-29.623555,0
28791,347.988047,-45.21719,1
24856,63.418678,-59.423945,0
34178,84.33520399999998,-37.372592,0
27905,332.82507599999997,-63.07662,1
7954,317.3619,-49.43063,1
4461,60.99793199999999,-37.474319,1
8504,72.616597,-45.861839,1
440,13.828149,-46.339625,1
32644,35.362595,-7.480417,1
26403,82.623145,-22.403605,0
34900,56.185401,-44.782455,0
28180,22.113829,-2.0005669999999998,1
26861,15.174326999999998,-19.879614,1
22781,41.022064,-1.703766,1
10328,19.887235,-43.342859999999995,1
21926,65.718026,-21.054585,1
21353,46.990849,-9.625283999999999,1
33362,22.087805,-57.060628,0
20162,49.422309000000006,-41.109619,0
2350,24.49767,-3.953013,0
10222,38.782817,-53.945613,1
37059,39.855315000000004,1.878828,1
39342,32.28013,-56.270838,0
36132,64.173576,-55.92331,1
12503,14.315712,-52.358634,1
1387,2.405536,-3.48017,0
3416,19.878042999999998,-36.182426,1
7420,57.873515000000005,-30.342574,0
15822,21.758901,-1.5844129999999998,1
37920,36.174029,-61.360596,0
10926,73.959274,-51.419497,0
8810,302.447404,-59.439168,1
37425,49.127909,-24.335625,0
602,91.227211,-61.191042,1
26169,317.07455699999997,-63.954249,0
11029,88.200103,-21.328986999999998,1
25782,353.31375099999997,-44.342028000000006,0
25185,75.41722,-25.755867000000002,1
34417,21.513503,-45.146853,0
18392,58.254726,-43.961114,1
39815,32.459846,-60.532461,1
29834,50.70701,-31.438706,1
20986,18.417778,-32.025667,0
27143,32.940026,-60.585705000000004,1
1755,93.432659,-47.357489,0
